,0
0,14
1,11
2,16
3,25
4,16
5,14
6,19
7,15
8,19
9,12
10,15
11,10
12,18
13,24
14,23
15,16
16,11
17,25
18,13
19,20
20,21
21,19
22,15
23,17
24,10
25,20
26,14
27,13
28,21
29,13
30,16
31,23
32,25
33,11
34,17
35,25
36,10
37,20
38,20
39,22
40,13
41,17
42,14
43,16
44,16
45,23
46,11
47,17
48,19
49,19
50,13
51,19
52,10
53,14
54,15
55,19
56,15
57,13
58,18
59,19
60,18
61,21
62,11
63,22
64,24
65,23
66,14
67,22
68,21
69,11
70,19
71,21
72,11
73,24
74,11
75,22
76,24
77,25
78,11
79,20
80,10
81,17
82,17
83,23
84,17
85,14
86,13
87,13
88,16
89,18
90,12
91,10
92,15
93,21
94,12
95,13
96,17
97,23
98,17
99,17
100,11
101,17
102,12
103,10
104,10
105,18
106,25
107,14
108,23
109,23
110,19
111,20
112,17
113,25
114,15
115,21
116,23
117,21
118,15
119,18
120,24
121,22
122,23
123,12
124,11
125,22
126,24
127,19
128,23
129,25
130,17
131,14
132,23
133,11
134,16
135,14
136,22
137,15
138,14
139,25
140,11
141,18
142,16
143,13
144,17
145,25
146,11
147,15
148,21
149,20
150,10
151,16
152,23
153,10
154,11
155,14
156,15
157,16
158,25
159,21
160,14
161,14
162,13
163,14
164,25
165,20
166,14
167,19
168,22
169,25
170,25
171,10
172,22
173,25
174,24
175,25
176,10
177,13
178,14
179,15
180,23
181,11
182,21
183,25
184,21
185,14
186,25
187,15
188,13
189,11
190,22
191,10
192,18
193,18
194,15
195,24
196,20
197,17
198,22
199,10
200,16
201,22
202,21
203,21
204,20
205,21
206,15
207,25
208,17
209,19
210,16
211,19
212,19
213,19
214,24
215,19
216,18
217,23
218,16
219,16
220,23
221,20
222,12
223,19
224,19
225,14
226,23
227,15
228,15
229,11
230,19
231,13
232,15
233,12
234,13
235,17
236,15
237,22
238,12
239,16
240,16
241,21
242,15
243,16
244,17
245,23
246,20
247,21
248,12
249,24
250,22
251,14
252,16
253,25
254,16
255,14
256,13
257,19
258,10
259,13
260,19
261,24
262,11
263,17
264,23
265,19
266,19
267,24
268,21
269,15
270,16
271,18
272,17
273,15
274,15
275,24
276,24
277,16
278,13
279,17
280,19
281,11
282,23
283,15
284,12
285,20
286,11
287,19
288,12
289,16
290,15
291,23
292,17
293,21
294,22
295,20
296,23
297,11
298,10
299,19
300,25
301,18
302,10
303,21
304,14
305,25
306,12
307,24
308,23
309,17
310,12
311,14
312,21
313,12
314,24
315,13
316,10
317,17
318,16
319,10
320,14
321,17
322,14
323,16
324,23
325,10
326,25
327,11
328,15
329,12
330,25
331,17
332,22
333,19
334,10
335,11
336,22
337,25
338,23
339,16
340,18
341,18
342,15
343,21
344,17
345,21
346,18
347,19
348,23
349,23
350,13
351,17
352,20
353,13
354,12
355,20
356,18
357,21
358,14
359,14
360,15
361,20
362,19
363,16
364,17
365,14
366,24
367,11
368,17
369,25
370,19
371,10
372,16
373,13
374,11
375,16
376,16
377,20
378,25
379,16
380,23
381,18
382,25
383,10
384,12
385,16
386,10
387,15
388,12
389,16
390,13
391,23
392,18
393,14
394,24
395,23
396,11
397,17
398,13
399,15
400,16
401,22
402,18
403,17
404,22
405,12
406,20
407,23
408,19
409,14
410,25
411,17
412,12
413,15
414,14
415,20
416,22
417,18
418,15
419,21
420,15
421,16
422,12
423,10
424,21
425,17
426,16
427,20
428,10
429,25
430,20
431,23
432,12
433,10
434,11
435,15
436,21
437,21
438,25
439,17
440,15
441,16
442,23
443,14
444,19
445,14
446,13
447,24
448,24
449,21
450,22
451,20
452,11
453,13
454,17
455,20
456,21
457,24
458,22
459,14
460,25
461,23
462,17
463,10
464,14
465,23
466,25
467,11
468,22
469,13
470,25
471,12
472,10
473,23
474,13
475,18
476,15
477,24
478,16
479,15
480,10
481,19
482,18
483,23
484,22
485,13
486,23
487,22
488,23
489,22
490,19
491,17
492,15
493,20
494,24
495,15
496,23
497,14
498,15
499,19
500,14
501,24
502,17
503,21
504,25
505,12
506,16
507,23
508,14
509,20
510,10
511,25
512,16
513,21
514,13
515,25
516,13
517,15
518,18
519,21
520,22
521,15
522,16
523,25
524,23
525,17
526,17
527,25
528,24
529,15
530,17
531,10
532,15
533,20
534,12
535,17
536,20
537,24
538,14
539,25
540,16
541,19
542,14
543,11
544,10
545,15
546,15
547,19
548,25
549,15
550,19
551,11
552,25
553,21
554,21
555,11
556,20
557,11
558,16
559,15
560,16
561,24
562,10
563,18
564,18
565,23
566,23
567,15
568,10
569,24
570,17
571,19
572,14
573,16
574,14
575,15
576,21
577,19
578,25
579,21
580,19
581,10
582,10
583,10
584,23
585,16
586,15
587,25
588,14
589,15
590,19
591,17
592,23
593,20
594,10
595,12
596,15
597,17
598,13
599,25
600,11
601,12
602,11
603,10
604,14
605,12
606,15
607,18
608,19
609,11
610,20
611,17
612,14
613,12
614,16
615,11
616,10
617,19
618,10
619,14
620,25
621,16
622,19
623,16
624,22
625,21
626,18
627,20
628,11
629,20
630,21
631,18
632,11
633,20
634,14
635,22
636,18
637,24
638,16
639,18
640,14
641,18
642,10
643,14
644,12
645,10
646,16
647,12
648,22
649,18
650,12
651,11
652,18
653,18
654,22
655,21
656,18
657,21
658,14
659,17
660,17
661,13
662,24
663,19
664,16
665,12
666,11
667,25
668,10
669,14
670,14
671,10
672,18
673,13
674,18
675,20
676,23
677,10
678,12
679,13
680,12
681,18
682,18
683,18
684,11
685,24
686,23
687,14
688,22
689,19
690,18
691,14
692,23
693,13
694,24
695,18
696,11
697,19
698,23
699,18
700,12
701,11
702,24
703,19
704,19
705,18
706,15
707,24
708,14
709,24
710,17
711,12
712,10
713,15
714,12
715,25
716,14
717,18
718,15
719,11
720,10
721,22
722,16
723,12
724,20
725,15
726,13
727,25
728,23
729,20
730,14
731,19
732,21
733,20
734,21
735,10
736,12
737,17
738,14
739,14
740,18
741,20
742,22
743,12
744,19
745,21
746,17
747,10
748,16
749,16
750,16
751,12
752,24
753,15
754,19
755,23
756,11
757,23
758,13
759,15
760,18
761,19
762,25
763,18
764,16
765,24
766,14
767,14
768,17
769,20
770,22
771,16
772,18
773,24
774,18
775,25
776,23
777,24
778,21
779,11
780,14
781,21
782,17
783,16
784,16
785,11
786,16
787,15
788,15
789,24
790,23
791,16
792,14
793,13
794,11
795,22
796,10
797,12
798,19
799,22
800,24
801,15
802,24
803,21
804,10
805,22
806,18
807,24
808,13
809,13
810,10
811,19
812,12
813,25
814,16
815,20
816,22
817,19
818,16
819,25
820,17
821,18
822,16
823,18
824,11
825,22
826,19
827,25
828,19
829,21
830,23
831,14
832,24
833,20
834,11
835,21
836,24
837,13
838,19
839,11
840,17
841,18
842,20
843,25
844,17
845,25
846,18
847,16
848,22
849,16
850,22
851,22
852,23
853,23
854,12
855,10
856,17
857,12
858,21
859,25
860,22
861,18
862,23
863,23
864,16
865,22
866,19
867,13
868,17
869,16
870,10
871,11
872,20
873,23
874,14
875,12
876,21
877,11
878,10
879,13
880,21
881,15
882,12
883,14
884,11
885,11
886,15
887,15
888,21
889,22
890,16
891,19
892,21
893,11
894,16
895,20
896,19
897,20
898,17
899,22
900,12
901,12
902,24
903,22
904,17
905,17
906,18
907,20
908,23
909,21
910,23
911,20
912,12
913,25
914,21
915,11
916,22
917,18
918,16
919,12
920,12
921,14
922,18
923,25
924,18
925,17
926,23
927,20
928,24
929,18
930,11
931,23
932,23
933,23
934,16
935,24
